repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
tszhong0411/nelsonlai.me,0.0,0.0,1,1
twentyhq/twenty,0.0,0.0,5,3
unclecode/crawl4ai,0.0,0.0,7,5
unibeck/solstatus,0.0,0.0,8,3
unisonweb/unison,0.0,0.0,1,1
unsend-dev/unsend,0.0,0.0,6,2
unxsist/jet-pilot,0.0,0.0,1,1
uxlfoundation/oneDAL,0.0,0.0,1,1
uxlfoundation/scikit-learn-intelex,0.0,0.0,2,1
vdaas/vald,0.0,0.1,13,10
vercel/next.js,0.0,0.0,5,3
vercel/turborepo,0.0,0.0,9,2
vercel/vercel,0.16666666666666666,0.0,6,3
vgmtrans/vgmtrans,0.0,0.0,2,1
vllm-project/vllm,0.0,0.0,6,3
vlm-run/vlmrun-hub,0.0,0.0,17,14
